iter	Accuracy	MultiClass
176	0.8551664401	0.4091174991
177	0.8552386223	0.4088521691
178	0.8552747134	0.4087229588
179	0.8553228348	0.4085182559
180	0.8554551688	0.4081535876
181	0.8555875029	0.4079362367
182	0.8555875029	0.4078148153
183	0.8557078065	0.4075605472
184	0.8557799887	0.4073143495
185	0.856020596	0.4069152376
186	0.8560566871	0.4066910045
187	0.8560807478	0.4063976739
188	0.8561408996	0.4062858286
189	0.856285264	0.4060070667
190	0.856417598	0.4056415402
191	0.8565379017	0.4054526332
192	0.8566702357	0.4052454301
193	0.8566702357	0.4051591161
194	0.8568025697	0.4048788021
195	0.856778509	0.4048154717
196	0.8569349037	0.4045083535
197	0.8568386608	0.4043456366
198	0.8568506911	0.4041980704
199	0.8569589644	0.4039049391
200	0.8570672377	0.4037365754
201	0.8572356628	0.4036169128
202	0.8572236324	0.4035096596
203	0.857307845	0.4033079659
204	0.8574040879	0.4029648876
205	0.8574883005	0.4028584563
206	0.8575243916	0.4027119875
207	0.8577770292	0.4024518126
208	0.8578492114	0.4021940064
209	0.8579093632	0.4019940977
210	0.8581740313	0.4017890718
211	0.8581379402	0.4016529628
212	0.8581860616	0.4014486784
213	0.8581620009	0.4011876926
214	0.8582101223	0.4010863984
215	0.8582341831	0.4008418413
216	0.8584146385	0.4005789262
217	0.8584868207	0.4005088214
218	0.8585469726	0.4003635545
219	0.8587996102	0.4000550479
220	0.8589078835	0.3997579213
221	0.8589800657	0.3994377099
222	0.8590402175	0.3992816854
223	0.8590161568	0.3990301428
224	0.8590642782	0.3988668869
225	0.859088339	0.398703271
226	0.8592808248	0.3984752103
227	0.859220673	0.398308582
228	0.8593650374	0.398027174
229	0.8593289463	0.3977811962
230	0.859353007	0.3975671288
231	0.8594011284	0.397494106
232	0.859485341	0.397368247
233	0.8595815839	0.3970698869
234	0.8594733106	0.39692443
235	0.859617675	0.3966672401
236	0.8596778268	0.3965663843
237	0.8598221912	0.3963266304
238	0.859978586	0.3959589214
239	0.8600748289	0.3957847323
240	0.8601349807	0.3956422823
241	0.8600627985	0.3955303811
242	0.8600868592	0.3954620566
243	0.8603394969	0.3951182848
244	0.8603515273	0.3949318597
245	0.860375588	0.3948677798
246	0.8604116791	0.3948100573
247	0.8604477702	0.3946632852
248	0.860507922	0.3944751764
249	0.8604718309	0.3943536761
250	0.8606522864	0.3941553867
251	0.8606282256	0.3938517995
252	0.8606161953	0.3935963025
253	0.8606282256	0.393351175
254	0.8605921345	0.3932572787
255	0.860640256	0.3931000284
256	0.8607244686	0.3928990306
257	0.8609530455	0.3927452296
258	0.8609410151	0.3926676057
259	0.8609771062	0.3926248165
260	0.8610131973	0.3925448653
261	0.8611455313	0.392319929
262	0.8612297439	0.3920717278
263	0.8612056831	0.3919940659
264	0.8612056831	0.3919566653
265	0.8613500475	0.3917921319
266	0.8615064423	0.391701117
267	0.8616387763	0.3914346853
268	0.8616989281	0.3910510023
269	0.8617590799	0.3908506039
270	0.8618072014	0.3906153509
271	0.8618793836	0.3904997435
272	0.8619154747	0.3903351183
273	0.8619996872	0.3900267529
274	0.8620838998	0.3899557455
275	0.862059839	0.3897718419
276	0.8622042034	0.389432341
277	0.8623124767	0.3892525877
278	0.8622763856	0.3891678929
279	0.8622402945	0.3890697941
280	0.8623245071	0.388936693
281	0.8623726285	0.3887718808
282	0.8625410536	0.3886817152
283	0.862553084	0.3886383349
284	0.8625771447	0.3884852462
285	0.8626613573	0.3882158748
286	0.8628297824	0.3878831108
287	0.8628658735	0.3878098052
288	0.8628899342	0.3877275858
289	0.8629019646	0.3876007911
290	0.8629139949	0.3874734677
291	0.863214754	0.3870242538
292	0.863214754	0.3869147944
293	0.8632628755	0.3868201669
294	0.8633230273	0.3865669643
295	0.8632749059	0.3864917422
296	0.8633350577	0.386305314
297	0.8633470881	0.3861325075
298	0.863443331	0.3858570428
299	0.8635516042	0.385603475
300	0.8637440901	0.3852304023
301	0.8637922115	0.3850495455
302	0.8638764241	0.3849437656
303	0.8638162723	0.3847666728
304	0.8638884545	0.3846234962
305	0.863840333	0.3845332062
306	0.8638764241	0.3844223612
307	0.8639967277	0.3841312426
308	0.864105001	0.3838654088
309	0.8641892136	0.383688644
310	0.8642012439	0.3835376207
311	0.8644899727	0.3833681834
312	0.8644538816	0.3833293121
313	0.8645621549	0.3832086848
314	0.8645621549	0.3830756792
315	0.8646463674	0.3828657181
316	0.8646944889	0.382806482
317	0.8647546407	0.3827171909
318	0.8648027622	0.3825524842
319	0.8648869747	0.3824282379
320	0.8649230658	0.3822867267
321	0.8648869747	0.3821303286
322	0.864862914	0.3821058131
323	0.864995248	0.382019592
324	0.8650914909	0.3819461766
325	0.8650794606	0.3818056805
326	0.8650072784	0.3815523467
327	0.8650794606	0.3814854771
328	0.8651155517	0.3814237846
329	0.8650914909	0.3812885846
330	0.8652960071	0.3811119887
331	0.8652478857	0.3810162079
332	0.8652960071	0.3808640593
333	0.8655005233	0.3805666596
334	0.8655606751	0.380488218
335	0.8655005233	0.3804043973
336	0.8655245841	0.380303855
337	0.8656569181	0.3801706507
338	0.8658133128	0.3799717862
339	0.8659456468	0.3798880181
340	0.8660418897	0.3797810786
341	0.8661140719	0.3797058526
342	0.8660900112	0.3795857226
343	0.8660539201	0.3795304518
344	0.8660779808	0.3794738557
345	0.8660779808	0.379285937
346	0.866150163	0.3792293906
347	0.8663065578	0.3790321574
348	0.8663306185	0.3789710343
349	0.8663787399	0.3786339971
350	0.8664629525	0.3785359666
